# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 1447660270
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.892405
# Diagonal elements of inverse mass matrix:
# 0.459111

-6.77025,0.980951,0.892405,2,3,0,0.276953
-6.84657,0.982975,0.892405,2,3,0,0.308024
-6.93226,0.979851,0.892405,1,1,0,0.330453
-6.93187,0.90756,0.892405,2,3,0,0.179751
-6.77165,0.996989,0.892405,2,3,0,0.223503
-6.7681,1,0.892405,1,1,0,0.225528
-7.73555,0.775208,0.892405,2,3,0,0.106321
-7.47593,1,0.892405,2,3,0,0.122438
-7.10893,1,0.892405,1,1,0,0.154981
-7.60661,0.944574,0.892405,2,3,0,0.11384
-6.77501,0.977416,0.892405,2,3,0,0.221735
-6.76197,0.97388,0.892405,2,3,0,0.229517
-6.78058,0.996438,0.892405,1,1,0,0.21904
-6.77731,1,0.892405,1,1,0,0.22059
-6.798,0.987883,0.892405,2,3,0,0.290834
-7.19031,0.850995,0.892405,2,3,0,0.146256
-6.79022,0.957772,0.892405,3,7,0,0.287431
-7.34936,0.808153,0.892405,2,3,0,0.131965
-7.13942,1,0.892405,2,3,0,0.151571
-6.78874,0.999939,0.892405,2,3,0,0.215508
-7.628,0.851974,0.892405,2,3,0,0.112532
-8.17715,0.946239,0.892405,1,1,0,0.0856971
-7.70602,1,0.892405,1,1,0,0.107969
-6.7486,0.968025,0.892405,2,3,0,0.245781
-6.74803,0.764931,0.892405,2,3,0,0.249655
-8.29698,0.796695,0.892405,2,3,0,0.081116
-7.85182,0.830037,0.892405,2,3,0,0.457678
-8.17178,0.91628,0.892405,1,1,0,0.487526
-7.19038,1,0.892405,3,7,0,0.146249
-7.29704,0.985869,0.892405,1,1,0,0.136336
-7.03603,0.913922,0.892405,2,3,0,0.351791
-6.90617,0.954103,0.892405,2,3,0,0.324265
-6.77939,0.974896,0.892405,2,3,0,0.219594
-6.84223,0.973643,0.892405,2,3,0,0.306683
-6.77137,1,0.892405,3,7,0,0.22366
-7.34597,0.930222,0.892405,2,3,0,0.13224
-8.03651,0.935075,0.892405,2,3,0,0.0915604
-7.98336,0.990791,0.892405,3,7,0,0.470414
-7.81364,1,0.892405,1,1,0,0.453842
-7.94035,1,0.892405,3,7,0,0.0959157
-6.79078,0.934361,0.892405,2,3,0,0.287686
-7.40691,0.881226,0.892405,2,3,0,0.407899
-6.76148,1,0.892405,2,3,0,0.229873
-6.7699,0.998377,0.892405,1,1,0,0.224477
-6.764,1,0.892405,1,1,0,0.22811
-7.09254,0.939628,0.892405,2,3,0,0.156892
-6.74832,0.990497,0.892405,2,3,0,0.24698
-7.09332,0.919358,0.892405,2,3,0,0.1568
-7.42438,0.955826,0.892405,1,1,0,0.126157
-7.85939,0.952282,0.892405,1,1,0,0.0998305
-7.61533,1,0.892405,1,1,0,0.113303
-6.76312,0.95021,0.892405,3,7,0,0.272132
-6.76312,0.734992,0.892405,2,3,0,0.272132
-7.53211,0.878481,0.892405,2,3,0,0.423205
-7.98779,0.883982,0.892405,1,1,0,0.470831
-7.9741,1,0.892405,3,7,0,0.0943525
-6.74918,0.970181,0.892405,2,3,0,0.244028
-7.36143,0.87717,0.892405,2,3,0,0.402005
-7.2374,1,0.892405,1,1,0,0.384805
-7.52368,0.768551,0.892405,2,3,0,0.422212
-7.49281,0.616861,0.892405,2,3,0,0.121263
-7.23976,1,0.892405,1,1,0,0.141475
-7.08827,1,0.892405,1,1,0,0.157399
-6.83149,0.995917,0.892405,2,3,0,0.201388
-6.75227,0.998404,0.892405,2,3,0,0.238593
-6.7554,0.999379,0.892405,1,1,0,0.23502
-6.84299,0.984876,0.892405,2,3,0,0.19833
-6.75089,1,0.892405,2,3,0,0.259544
-6.74889,0.940512,0.892405,2,3,0,0.255239
-6.74889,0.889246,0.892405,2,3,0,0.255239
-6.92582,0.953747,0.892405,2,3,0,0.18082
-8.21538,0.837082,0.892405,2,3,0,0.0841967
-6.92479,0.958117,0.892405,2,3,0,0.181005
-7.09598,0.973632,0.892405,1,1,0,0.156486
-6.76442,1,0.892405,2,3,0,0.227832
-6.76816,0.994173,0.892405,2,3,0,0.275626
-6.82553,0.972969,0.892405,2,3,0,0.203063
-7.40396,0.916921,0.892405,2,3,0,0.127689
-7.33979,0.999289,0.892405,3,7,0,0.399129
-6.97278,0.917884,0.892405,2,3,0,0.339315
-6.966,1,0.892405,2,3,0,0.337886
-7.03805,0.880171,0.892405,2,3,0,0.163703
-7.34696,0.856042,0.892405,2,3,0,0.13216
-7.49291,0.982383,0.892405,1,1,0,0.121256
-7.60091,0.987752,0.892405,1,1,0,0.114193
-6.76267,0.978466,0.892405,2,3,0,0.229025
-6.85568,0.971502,0.892405,2,3,0,0.310757
-7.12837,0.856267,0.892405,3,7,0,0.152786
-6.79268,0.96691,0.892405,2,3,0,0.288538
-6.93588,0.932696,0.892405,3,7,0,0.179055
-6.89687,0.950438,0.892405,2,3,0,0.321946
-7.24531,0.917491,0.892405,1,1,0,0.385958
-7.22728,1,0.892405,1,1,0,0.383317
-7.30039,0.981133,0.892405,1,1,0,0.393765
-7.35361,0.691553,0.892405,2,3,0,0.131623
-8.12781,0.805102,0.892405,2,3,0,0.483641
-7.17371,1,0.892405,3,7,0,0.147942
-6.84422,0.953331,0.892405,2,3,0,0.307302
-6.753,0.998304,0.892405,2,3,0,0.262612
-6.91512,0.969095,0.892405,2,3,0,0.326438
-7.00497,0.570305,0.892405,3,7,0,0.34584
-8.28306,0.644714,0.892405,2,3,0,0.497091
-6.83158,0.918763,0.892405,2,3,0,0.201361
-7.38407,0.96449,0.892405,2,3,0,0.404963
-6.80748,0.93906,0.892405,2,3,0,0.208632
-6.76815,0.999715,0.892405,3,7,0,0.275618
-7.03074,0.965051,0.892405,3,7,0,0.164677
-7.03132,0.999912,0.892405,1,1,0,0.164599
-6.7506,1,0.892405,2,3,0,0.241089
-6.94238,0.959613,0.892405,2,3,0,0.177944
-6.9164,0.707749,0.892405,3,7,0,0.326742
-6.96873,0.894687,0.892405,2,3,0,0.173656
-6.99237,0.996315,0.892405,1,1,0,0.170068
-6.76038,0.957298,0.892405,2,3,0,0.230703
-6.85147,0.972732,0.892405,2,3,0,0.309508
-7.09334,0.943318,0.892405,1,1,0,0.362043
-6.79819,1,0.892405,3,7,0,0.211866
-6.77523,0.986414,0.892405,3,7,0,0.279887
-6.77523,0.835102,0.892405,3,7,0,0.279887
-6.77523,0.759926,0.892405,2,3,0,0.279887
-6.74826,0.999509,0.892405,2,3,0,0.252711
-6.76433,0.996709,0.892405,2,3,0,0.273017
-6.75029,0.982593,0.892405,2,3,0,0.241652
-7.23574,0.945504,0.892405,2,3,0,0.384562
-6.80625,0.944464,0.892405,2,3,0,0.209045
-7.35263,0.874611,0.892405,2,3,0,0.400842
-6.94189,1,0.892405,1,1,0,0.332635
-6.81545,1,0.892405,2,3,0,0.29766
-6.87597,0.950463,0.892405,2,3,0,0.190584
-7.7737,0.944918,0.892405,2,3,0,0.449757
-8.81428,0.752417,0.892405,1,1,0,0.53835
-10.0916,0.710393,0.892405,1,1,0,0.617293
-11.0636,0.927442,0.892405,2,3,0,0.66487
-8.58583,0.992221,0.892405,3,7,0,0.0713764
-9.05807,0.96867,0.892405,1,1,0,0.0585154
-9.56029,0.972332,0.892405,1,1,0,0.047851
-9.50027,0.991692,0.892405,3,7,0,0.0489944
-8.80253,1,0.892405,1,1,0,0.0650673
-7.44399,0.997356,0.892405,2,3,0,0.124717
-7.31986,1,0.892405,2,3,0,0.134395
-7.50632,0.9774,0.892405,1,1,0,0.120337
